"","Observations","Posterior","Candidate"
"2882",48100,0,"MAWSON Greg"
"2883",48100,1,"REGAN Michael"
"2884",48100,0,"SORENSEN Susan"
"2885",48100,0,"WILLIAMS Toby"
"2886",48100,0,"WRIGHT Sue"
"2887",48200,0,"HRNJAK Ethan"
"2888",48200,0,"MAWSON Greg"
"2889",48200,1,"REGAN Michael"
"2890",48200,0,"SORENSEN Susan"
"2891",48200,0,"WILLIAMS Toby"
"2892",48200,0,"WRIGHT Sue"
"2893",48300,0,"HRNJAK Ethan"
"2894",48300,0,"MAWSON Greg"
"2895",48300,1,"REGAN Michael"
"2896",48300,0,"SORENSEN Susan"
"2897",48300,0,"WILLIAMS Toby"
"2898",48300,0,"WRIGHT Sue"
"2899",48400,0,"HRNJAK Ethan"
"2900",48400,0,"MAWSON Greg"
"2901",48400,1,"REGAN Michael"
"2902",48400,0,"SORENSEN Susan"
"2903",48400,0,"WILLIAMS Toby"
"2904",48400,0,"WRIGHT Sue"
"2905",48500,0,"HRNJAK Ethan"
"2906",48500,0,"MAWSON Greg"
"2907",48500,1,"REGAN Michael"
"2908",48500,0,"SORENSEN Susan"
"2909",48500,0,"WILLIAMS Toby"
"2910",48500,0,"WRIGHT Sue"
"2911",48600,0,"HRNJAK Ethan"
"2912",48600,0,"MAWSON Greg"
"2913",48600,1,"REGAN Michael"
"2914",48600,0,"SORENSEN Susan"
"2915",48600,0,"WILLIAMS Toby"
"2916",48600,0,"WRIGHT Sue"
"2917",48700,0,"HRNJAK Ethan"
"2918",48700,0,"MAWSON Greg"
"2919",48700,1,"REGAN Michael"
"2920",48700,0,"SORENSEN Susan"
"2921",48700,0,"WILLIAMS Toby"
"2922",48700,0,"WRIGHT Sue"
"2923",48800,0,"HRNJAK Ethan"
"2924",48800,0,"MAWSON Greg"
"2925",48800,1,"REGAN Michael"
"2926",48800,0,"SORENSEN Susan"
"2927",48800,0,"WILLIAMS Toby"
"2928",48800,0,"WRIGHT Sue"
"2929",48900,0,"HRNJAK Ethan"
"2930",48900,0,"MAWSON Greg"
"2931",48900,1,"REGAN Michael"
"2932",48900,0,"SORENSEN Susan"
"2933",48900,0,"WILLIAMS Toby"
"2934",48900,0,"WRIGHT Sue"
"2935",49000,0,"HRNJAK Ethan"
"2936",49000,0,"MAWSON Greg"
"2937",49000,1,"REGAN Michael"
"2938",49000,0,"SORENSEN Susan"
"2939",49000,0,"WILLIAMS Toby"
"2940",49000,0,"WRIGHT Sue"
"2941",49100,0,"HRNJAK Ethan"
"2942",49100,0,"MAWSON Greg"
"2943",49100,1,"REGAN Michael"
"2944",49100,0,"SORENSEN Susan"
"2945",49100,0,"WILLIAMS Toby"
"2946",49100,0,"WRIGHT Sue"
"2947",49200,0,"HRNJAK Ethan"
"2948",49200,0,"MAWSON Greg"
"2949",49200,1,"REGAN Michael"
"2950",49200,0,"SORENSEN Susan"
"2951",49200,0,"WILLIAMS Toby"
"2952",49200,0,"WRIGHT Sue"
"2953",49300,0,"HRNJAK Ethan"
"2954",49300,0,"MAWSON Greg"
"2955",49300,1,"REGAN Michael"
"2956",49300,0,"SORENSEN Susan"
"2957",49300,0,"WILLIAMS Toby"
"2958",49300,0,"WRIGHT Sue"
"2959",49400,0,"HRNJAK Ethan"
"2960",49400,0,"MAWSON Greg"
"2961",49400,1,"REGAN Michael"
"2962",49400,0,"SORENSEN Susan"
"2963",49400,0,"WILLIAMS Toby"
"2964",49400,0,"WRIGHT Sue"
"2965",49500,0,"HRNJAK Ethan"
"2966",49500,0,"MAWSON Greg"
"2967",49500,1,"REGAN Michael"
"2968",49500,0,"SORENSEN Susan"
"2969",49500,0,"WILLIAMS Toby"
"2970",49500,0,"WRIGHT Sue"
"2971",49600,0,"HRNJAK Ethan"
"2972",49600,0,"MAWSON Greg"
"2973",49600,1,"REGAN Michael"
"2974",49600,0,"SORENSEN Susan"
"2975",49600,0,"WILLIAMS Toby"
"2976",49600,0,"WRIGHT Sue"
"2977",49700,0,"HRNJAK Ethan"
"2978",49700,0,"MAWSON Greg"
"2979",49700,1,"REGAN Michael"
"2980",49700,0,"SORENSEN Susan"
"2981",49700,0,"WILLIAMS Toby"
"2982",49700,0,"WRIGHT Sue"
"2983",49800,0,"HRNJAK Ethan"
"2984",49800,0,"MAWSON Greg"
"2985",49800,1,"REGAN Michael"
"2986",49800,0,"SORENSEN Susan"
"2987",49800,0,"WILLIAMS Toby"
"2988",49800,0,"WRIGHT Sue"
"2989",49900,0,"HRNJAK Ethan"
"2990",49900,0,"MAWSON Greg"
"2991",49900,1,"REGAN Michael"
"2992",49900,0,"SORENSEN Susan"
"2993",49900,0,"WILLIAMS Toby"
"2994",49900,0,"WRIGHT Sue"
"2995",50000,0,"HRNJAK Ethan"
"2996",50000,0,"MAWSON Greg"
"2997",50000,1,"REGAN Michael"
"2998",50000,0,"SORENSEN Susan"
"2999",50000,0,"WILLIAMS Toby"
"3000",50000,0,"WRIGHT Sue"
"3001",50100,0,"HRNJAK Ethan"
"3002",50100,0,"MAWSON Greg"
"3003",50100,1,"REGAN Michael"
"3004",50100,0,"SORENSEN Susan"
"3005",50100,0,"WILLIAMS Toby"
"3006",50100,0,"WRIGHT Sue"
"3007",50200,0,"HRNJAK Ethan"
"3008",50200,0,"MAWSON Greg"
"3009",50200,1,"REGAN Michael"
"3010",50200,0,"SORENSEN Susan"
"3011",50200,0,"WILLIAMS Toby"
"3012",50200,0,"WRIGHT Sue"
"3013",50300,0,"HRNJAK Ethan"
"3014",50300,0,"MAWSON Greg"
"3015",50300,1,"REGAN Michael"
"3016",50300,0,"SORENSEN Susan"
"3017",50300,0,"WILLIAMS Toby"
